message_id,trial_id,participant_id,chain_id,domain,chain_pos,condition,message,abstractions,concrete_recipes,positive_valence,negative_valence,policy,dynamics,avoidance
145,231,207,30,decorations,2.0,chain,Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them. Try to aim for 25 points per each item,1,0,0,0,1,1,0
2,5,6,48,animals,1.0,chain,The mutation serum always takes points. Growth serum is really good.,1,0,1,1,0,1,1
191,291,238,65,potions,3.0,chain,"It was much harder to figure out the right combinations. I was only able to get 30 on some combinations. Don't overthink it too much.

Combining vial together, tend to be more reliable for generating points.",1,0,0,1,0,1,0
95,155,141,57,animals,2.0,chain,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation. COMBINE,1,0,0,0,1,0,1
312,464,342,46,animals,4.0,chain,"It is best to use growth serum before mutating
zebra shark growth serum",1,1,0,0,1,0,0
81,129,101,35,decorations,2.0,chain,simply cut and frame items. do not include everything. be realistic,1,0,0,0,1,0,1
340,136,112,84,potions,nan,individual,"Quick Tips for Success:
Tools (grey) can be reused—apply them to high-value items after combining.
Combine lower-value ingredients first; some items (like high-value ones) give 0 if combined.
Track combinations and results in the scratchpad.
Your score is the highest-value item, so focus on maximizing one or two items.
Experiment with order: tool → combine or combine → tool for best results.",1,0,1,0,1,1,0
65,95,74,45,animals,1.0,chain,"Combine two of the four animals after aging them a few times (or max,) then with those two you combined add a couple mutations. Repeat for the other two animals left.",1,0,0,0,1,0,0
19,29,24,30,decorations,1.0,chain,Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them,1,0,0,0,1,1,0
351,164,161,81,cooking,nan,individual,"To maximize your score, use one of each: protein, grain, and vegetable in your dish. Do not cook any ingredient more than once or the resulting dish will be overcooked.",1,0,0,0,1,1,1
109,177,164,50,animals,2.0,chain,Stay away from the mutation and be very observant.,1,0,0,1,0,0,1
387,459,341,82,decorations,nan,individual,Combining more than 2 can lead to negative numbers,1,0,0,1,0,1,0
221,325,248,49,animals,3.0,chain,avoid mutation catalyst and the trout and make sure you dont combine everything,1,0,0,0,1,0,1
161,255,193,73,potions,2.0,chain,"Vial plus magical, then filter plus mundane.
Combine those two products for 100",1,0,1,0,1,0,0
333,102,88,81,cooking,nan,individual,Just try not to overcomplicate things by mixing too many ingredients at one time,1,0,0,0,1,0,1
304,450,331,55,animals,4.0,chain,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them.,1,0,0,0,1,1,0
26,36,28,37,decorations,1.0,chain,it is impossible to reach 80,0,0,0,1,0,1,0
100,165,153,74,potions,2.0,chain,"Vial for extract, filter for filter. Combine the best outcome extract with the best outcome filter for most of the highest-scoring results. There are some exceptions, such as one where 2 extracts can be combined.",1,0,1,0,1,1,0
54,74,38,27,decorations,1.0,chain,cut hard material and combine with cut soft material,1,0,0,0,1,0,0
239,354,258,16,cooking,4.0,chain,"Cooking something twice doesn't make it better, and most times will make it negative. I tried making a BLT and it was marked as overcomplicated, so try and stick to only 3 ingredients mixed together. Cook the ingredients. beef or fish and vegatble mix give high points.",1,0,0,1,1,1,1
75,118,98,65,potions,1.0,chain,"It is very confusing to figure this one out. I would suggest keeping it simple. Keep at least one item worth 30 points on the board. I wasn't able to figure out the pattern, sometimes extractions fail and I gave up on filtering because it kept ruining some times. I stuck 30 points most rounds by being cautious to avoid getting zero points.",1,0,0,1,1,1,0
10,18,18,57,animals,1.0,chain,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation.,1,0,0,0,1,0,1
257,383,275,13,cooking,4.0,chain,"Combine two of the same type with one of the other type for the best score it seems, you can cook after combining the 3. Never water.",1,0,1,0,1,0,1
182,278,211,12,cooking,3.0,chain,"3 ingredients max, one of each: protein, vegetable, and grain. I combined vegetable with protein, then used stove then combined with grain. Water lowers score. Was only able to get max of 80",1,0,0,1,1,1,1
299,444,322,41,animals,4.0,chain,"don't over combine. 
just two animals are okay and they should animals that lives on land and air. choose two animals like the prompt stated",1,0,0,0,1,0,1 
157,249,205,22,decorations,3.0,chain,Add the frame last.,1,0,0,0,1,0,0
283,426,317,60,animals,4.0,chain,Try different combinations and don't use the multiplier too often.,1,0,0,0,1,0,1
154,244,207,53,animals,2.0,chain,"Knowing when to use the catalyst and the growth serum is very important. Mix around the options, even if you go negative for score.. maybe adding more will make the score higher",1,0,1,0,1,0,0
89,142,126,38,decorations,1.0,chain,"Frame comes last, try that",1,0,0,0,1,0,0
32,44,28,71,potions,1.0,chain,try your best it will run out of time,0,0,0,0,1,0,0
